Var1,Var2
79,air conditioner
38,air duct
25,air vent
525,alarm
156,alarm clock
822,album
708,aluminium foil
870,american flag
796,antenna
334,apple
377,ashtray
680,avocado
494,baby chair
591,baby gate
656,back scrubber
206,backpack
55,bag
690,bag of bagels
245,bag of chips
285,bag of flour
747,bag of hot dog buns
692,bag of oreo
689,bagel
260,baking dish
60,ball
385,balloon
147,banana
691,banana peel
453,banister
51,bar
564,bar of soap
343,barrel
825,baseball
39,basket
542,basketball
162,basketball hoop
414,bassinet
136,bathtub
797,bean bag
157,bed
352,bed sheets
808,bedding package
780,beeper
610,belt
204,bench
189,bicycle
337,bicycle helmet
307,bin
399,binder
225,blackboard
312,blanket
268,blender
80,blinds
408,board
1,book
827,book holder
374,bookend
224,bookrack
85,books
88,bookshelf
773,boomerang
2,bottle
755,bottle of comet
633,bottle of contact lens solution
677,bottle of hand wash liquid
750,bottle of ketchup
685,bottle of liquid
676,bottle of listerine
840,bottle of perfume
502,bottle of soap
22,bowl
26,box
503,box of paper
271,box of ziplock bags
860,bracelet
246,bread
695,brick
617,briefcase
328,broom
427,bucket
688,bulb
804,bunk bed
535,business cards
712,butterfly sculpture
774,button
3,cabinet
168,cable box
73,cable modem
104,cable rack
450,cables
641,cactus
289,cake
200,calculator
583,calendar
40,camera
329,can
857,can of beer
280,can of food
279,can opener
605,candelabra
137,candle
148,candlestick
555,cane
794,canister
355,cannister
593,cans of cat food
441,cap stand
530,car
452,cardboard sheet
413,cardboard tube
305,cart
397,carton
851,case
365,casserole dish
594,cat
608,cat bed
580,cat cage
856,cat house
207,cd
585,cd disc
4,ceiling
720,celery
290,cell phone
602,cell phone charger
878,centerpiece
643,ceramic frog
790,certificate
5,chair
428,chalkboard
342,chandelier
726,chapstick
743,charger
574,charger and wire
411,chart
495,chart roll
393,chart stand
198,chessboard
344,chest
491,child carrier
702,chimney
112,circuit breaker box
392,classroom board
548,cleaner
381,cleaning wipes
536,clipboard
56,clock
492,cloth bag
549,cloth drying stand
141,clothes
501,clothing detergent
498,clothing dryer
556,clothing drying rack
770,clothing hamper
214,clothing hanger
572,clothing iron
499,clothing washer
387,coaster
400,coat hanger
226,coffee bag
237,coffee grinder
234,coffee machine
227,coffee packet
893,coffee pot
356,coffee table
308,coins
297,coke bottle
694,collander
176,cologne
94,column
809,comb
484,comforter
46,computer
616,computer disk
673,conch shell
6,cone
613,console controller
518,console system
634,contact lens case
173,contact lens solution bottle
140,container
637,container of skin cream
252,cooking pan
761,cooking pot cover
528,copper vessel
474,cordless phone
545,cordless telephone
34,cork board
713,corkscrew
716,corn
7,counter
493,cradle
183,crate
511,crayon
635,cream
653,cream tube
485,crib
330,crock pot
35,cup
89,curtain
582,curtain rod
247,cutting board
345,decanter
842,decoration item
767,decorative bottle
826,decorative bowl
865,decorative candle
757,decorative dish
862,decorative egg
853,decorative item
383,decorative plate
370,decorative platter
159,deoderant
36,desk
475,desk drawer
473,desk mat
829,desser
248,dish brush
368,dish cover
581,dish rack
261,dish scrubber
733,dishes
8,dishwasher
444,display board
540,display case
877,display platter
701,dog
858,dog bed
697,dog bowl
703,dog cage
736,dog toy
892,doily
99,doll
486,doll house
810,dollar bill
219,dolly
28,door
642,door  window  reflection
663,door curtain
657,door facing trimreflection
615,door frame
27,door knob
646,door lock
609,door way
686,door way arch
658,doorreflection
567,drain
174,drawer
371,drawer handle
833,drawer knob
169,dresser
145,drum
262,drying rack
554,drying stand
887,duck
115,duster
197,dvd
170,dvd player
325,dvds
152,earplugs
419,educational display
888,eggplant
699,eggs
550,electric box
369,electric mixer
142,electric toothbrush
629,electric toothbrush base
738,electrical kettle
98,electrical outlet
816,electronic drumset
476,envelope
843,envelopes
100,eraser
118,ethernet jack
155,excercise ball
457,excercise equipment
558,excercise machine
86,exit sign
335,eye glasses
787,eyeball plastic ball
665,face wash cream
74,fan
9,faucet
568,faucet handle
68,fax machine
543,fiberglass case
836,figurine
75,file
734,file box
469,file container
410,file holder
619,file pad
479,file stand
401,filing shelves
338,fire alarm
10,fire extinguisher
372,fireplace
782,fish tank
405,flag
201,flashcard
666,flashlight
693,flask
760,flask set
537,flatbed scanner
106,flipboard
11,floor
143,floor mat
868,floor trim
81,flower
595,flower basket
471,flower box
146,flower pot
69,folder
213,folders
715,food processor
752,food wrapped on a tray
510,foosball table
163,foot rest
166,football
349,fork
544,framed certificate
286,fruit
728,fruit basket
596,fruit platter
681,fruit stand
682,fruitplate
318,frying pan
551,furnace
524,furniture
516,game system
429,game table
850,garage door
269,garbage bag
12,garbage bin
763,garlic
223,gate
351,gift wrapping
185,gift wrapping roll
612,glass
316,glass baking dish
622,glass box
636,glass container
721,glass dish
412,glass pane
304,glass pot
216,glass rack
705,glass set
889,glass ware
347,globe
466,globe stand
729,glove
880,gold piece
462,grandfather clock
597,grapefruit
57,green screen
700,grill
300,guitar
771,guitar case
120,hair brush
577,hair dryer
748,hamburger bun
883,hammer
599,hand blender
845,hand fan
